Título del trabajo,Ubicación del trabajo,Tipo de empleo,Entidad Legal,Descripción del trabajo,Calificaciones/Requisitos,Información adicional
Project Purchasing Administrator,"Eje Central S.A.H.O.P. # 245 Zona Industrial San Luis Potosí, San Luis Potosí, SAN LUIS POTOSI, Mexico",Full-time,Full-time,"Company DescriptionDo you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology - with us, you will have the chance to improve quality of life all across the globe.Job DescriptionPrimary Duties and Accountabilities:Interface between Corporate Purchasing and the Business UnitManager of Engineering Changes affecting purchased components. Product technical interface to suppliers.Specific Duties:Project management in the field of external procurement for every new projects (platform, variants, applications) worldwide Responsibility for achieving project goals (expenses, quality, scheduled dates, budged) Participation in the Team, coordination of Work with suppliers Performing technical supplier discussions Interface with purchasing organization for strategic and operative topics Supervision of series products (Engineering Change Management) Establish second suppliers Responsibility for ratio-projects and change managementQualificationsMechanical or Industrial EngineerProject ManagementInterpretation of technical drawings of engineering areasExperience in Automotive IndustryExpertise in Production processesKnowledge in Automotive qualityTools and purchasing processesAdditional InformationGet to know more about how we work at Bosch and our new open positions on our social networks:Facebook: Bosch Talento MéxicoInstagram: Bosch Campus MéxicoLinkedIn: Bosch MéxicoTiktok: Bosch Talento MéxicoAll of our vacancies are eligible for relocation financial support* based on internal mobility policy 0085.","Mechanical or Industrial Engineer, Project Management, Interpretation of technical drawings of engineering areas, Experience in Automotive Industry, Expertise in Production processes, Knowledge in Automotive quality, Tools and purchasing processes",Get to know more about how we work at Bosch and our new open positions on our social networks:Facebook: Bosch Talento MéxicoInstagram: Bosch Campus MéxicoLinkedIn: Bosch MéxicoTiktok: Bosch Talento MéxicoAll of our vacancies are eligible for relocation financial support* based on internal mobility policy 0085.
MFE Process Leader,"Eje Centro Sahop, Industrial San Luis, 78395 San Luis, S.L.P., México",A jornada completa,A jornada completa,"Descripción de la empresaWork #LikeABoschOur strategic objective is to create connected solutions, improving the quality of life worldwide. Let’s grow together, enjoy more, and inspire each other.·        Reinvent yourself: At Bosch, you will evolve.·        Discover new directions: At Bosch, you will find your place.·        Balance your life: At Bosch, your job matches your lifestyle.·        Celebrate success: At Bosch, we celebrate you.·        Be yourself: At Bosch, we value values.·        Shape tomorrow: At Bosch, you change lives.Bosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for over 130 years hasbeen distinguished by a unique corporate culture based on solid values that drive us to improve every day. Our products, present in a wide variety of lands, contribute to improve the quality of life of millions of people.Powertrain Solutions is a provider of diversified powertrain products and solutions in our three market segments Electric Vehicles (EL), Passenger Cars (PC), and Commercial Vehicles / Off-Road (CV/OR) – from gasoline and diesel injection to electric drives with battery and fuel cell technologies.88,000 associates in 27 countries and more than 90 locations worldwide are playing their part in the successof Powertrain Solutions.Descripción del empleoAlcanzar los objetivos técnicos de la unidad de negocio, asegurando el proceso de fabricación y la liberación de la línea y la estabilidad del proceso.  Asegurar y coordinar el seguimiento de los indicadores, establecer la comunicación con entidades externas.Liderar proyectos de mejora continua y actividades de reducción de costes. Analizar
situaciones, definir e implementar actividades de mejora, documentación, seguimiento de
avances.Asegurar el proceso de fabricación y la liberación de la línea de acuerdo a los principios
de ingeniería y seguridad, los requisitos del cliente, los estándares de Bosch y las
especificaciones de proceso.RequisitosEspecialidad: IngenieríaInglés Nivel Avanzado+ de 10 años de experiencia en posición similiar.Procesos de Fabricación (test / ingeniería mecánica,
trazabilidad / SW / ingeniería industrial).Métodos de solución de problemas (8D, Fishbone,
5Why, 6Sigma / Shainin, etc).Procesos de automatización.Comunicación y NegociaciónProcesos de producción y manufactura (PFMEA,
MSA, SPC, SPM)Conocimiento ISO 9001, ISO TS 16949 / IATF 16949","Especialidad: Ingeniería, Inglés Nivel Avanzado, + de 10 años de experiencia en posición similiar., Procesos de Fabricación (test / ingeniería mecánica,
trazabilidad / SW / ingeniería industrial)., Métodos de solución de problemas (8D, Fishbone,
5Why, 6Sigma / Shainin, etc)., Procesos de automatización., Comunicación y Negociación, Procesos de producción y manufactura (PFMEA,
MSA, SPC, SPM), Conocimiento ISO 9001, ISO TS 16949 / IATF 16949",
Systems Requirements Engineer,"Av. Ignacio L. Vallarta 3090, Vallarta Nte., 44690 Guadalajara, Jal., Mexico",Full-time,Full-time,"Company DescriptionBosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for more than 130 years has been distinguished by a unique corporate culture based on solid values ​​that drive us to improve every day. Our products, present in a wide variety of fields, that contribute to improve the quality of life of millions of people.Job DescriptionBe part of the Electric Power Steering development team, being responsible of developing, analyzing and managing customer and internal system requirements (Functions, system performance, safety and functional requirements). Work in close cooperation with a multidisciplinary team and customer first point of contact for requirements related topics.Main TasksResponsible for System Level functions, by creating diagram/models using Enterprise Architect.Develop system and software requirements to satisfy the customer, safety, and applicable standards and regulations, using IBM Rational DOORS.Lead the analysis of new customer requirements sets against Bosch system requirements, develop compliance statements and present it to the customer.Lead requirements clarification and definition for steering functionalities.Prepare and conduct internal and stakeholder driven reviews.Ensure close cooperation with the software architects and developers for deriving requirements and design.Provide support for software testing activities and issue resolution.Interact with the system, software and test teams and ensure full traceability and test coverage.Knowledge of product acquisition and deliverables.Using your expertise mentor engineering members of the team.Contribute in developing competence in emerging areas.Experience with standards and audits  (CMMI, ASPICE, ISO26262)QualificationsBachelor in Electrical Engineering, Mechatronics Engineering or related3-5 years of experience (maximum)Team PlayerCommunication and influencing skills Good in problem solving and decision makingAnalytical ThinkingAdditional InformationBosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.Vacancy applies to the referral program.","Bachelor in Electrical Engineering, Mechatronics Engineering or related, 3-5 years of experience (maximum), Team Player, Communication and influencing skills, Good in problem solving and decision making, Analytical Thinking","Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.Vacancy applies to the referral program."
Pre Production Manager Area in Production - BSH Cooling Factory,"Sta. Rosa - Salinas Victoria, Centro de Salinas Victoria, Salinas Victoria, N.L., Mexico",Full-time,Full-time,"Company DescriptionBosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for more than 130 years has been distinguished by a unique corporate culture based on solid values ​​that drive us to improve every day. Our products, present in a wide variety of fields, that contribute to improve the quality of life of millions of people.About Bosch BSHFounded in Germany in 1967 as a joint venture of Robert Bosch GmbH (Stuttgart) and Siemens AG (Munich), BSH has been 100% owned by the Bosch Group since January 2015.We have grown enormously in our over 50-year history. From our roots as a German exporter, we’ve evolved to become one of the world's leading home appliance manufacturers with around 40 factories worldwide. Our product portfolio ranges from large home appliances – such as cooktops, ovens, extractor hoods, dishwashers, washers, dryers, fridges, and freezers – to small home appliances, such as vacuum cleaners, espresso machines as well as small kitchen appliances.Job DescriptionYou will be working in an exciting, international environment and contributing personally to the company’s success. Challenging tasks and projects await you. Pre production Areas Operations: Oversees manufacturing and/or production operations, including assembly, machinery, processing and/or packaging. Sets production schedules based on product introduction, equipment efficiency, materials supply, staffing resources and volume required to meet demand and to ensure maximum production quantity and quality.Key responsibilities:Responsible for the pre fabrication of cooling products with right quantity, quality, cost and time.Implement Production system in all  pre production operations and continuously improve work efficiency.Ensure to realize production related KPIs e.g. Safety, TCR/WFR, DEP, KPI10 , etc.Create and execute PD 3-5 years plan based on Factory Master Plan for the area of pre productionContinuously develop employees capabilitiesQualificationsMore than 8 years of management experience in consumer product industryFast decision making and troubleshootingMotivator and role model for collaborationAbility to cooperate with various stakeholders outside the own organization.Strong leadership skills.Intercultural competenciesFlexibility for trainings and travelling in China or/and Germany for 2-3 months.Additional InformationBosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 18,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe. Welcome to Bosch.Get to know more about how we work at Bosch and our new open positions on our social networks:Facebook: Bosch Talento MéxicoInstagram: Bosch Campus MéxicoLinkedIn: Bosch MéxicoTiktok: Bosch Talento México","More than 8 years of management experience in consumer product industry, Fast decision making and troubleshooting, Motivator and role model for collaboration, Ability to cooperate with various stakeholders outside the own organization., Strong leadership skills., Intercultural competencies, Flexibility for trainings and travelling in China or/and Germany for 2-3 months.","Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 18,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe. Welcome to Bosch.Get to know more about how we work at Bosch and our new open positions on our social networks:Facebook: Bosch Talento MéxicoInstagram: Bosch Campus MéxicoLinkedIn: Bosch MéxicoTiktok: Bosch Talento México"
Embedded Software Developer Triage,"Av. Ignacio L. Vallarta 3300, Vallarta Nte., 44690 Guadalajara, Jal., Mexico",Full-time,Full-time,"Company DescriptionBGSW - MX is part of BGSW India which is the largest development Center outside of India. BGSW is 19,000 + Strong engineering and IT workforce supporting Bosch divisions as well as providing product and services for third party customers. BGSW has 4 development center 2 in India, 1 in Vietnam and 1 in Mexico.Job DescriptionThe Embedded Software Developer Triage will be responsible for triaging the bugs, ensure proper assignation and follow up proving updates to management. You’ll work closely with internal platform team, supplier, and customer support teams; the main responsibilities are:Key responsibilities include:Analise technical requirements documentsMonitor and participate in triage meetingsBuild Guard the continues integration mecahnismsTriage incoming bugsEscalate as needed to assure bugs are not stuckQualificationsMandatory Skills:Experience developing software using C/C++ on LinuxStrong experience using GitLab and Git in contributor and maintainer rolesStrong hold of Agile concepts with actual work experienceGood debugging skillsExperience in a modern object-oriented programming languageOutstanding problem-solving and collaboration skillsDesirable Skills:Usage of lauterbachC++ & OOPAdditional InformationVacancy applies to the referral program.","Experience developing software using C/C++ on Linux, Strong experience using GitLab and Git in contributor and maintainer roles, Strong hold of Agile concepts with actual work experience, Good debugging skills, Experience in a modern object-oriented programming language, Outstanding problem-solving and collaboration skills, Usage of lauterbach, C++ & OOP",Vacancy applies to the referral program.
TEF Project Coordinator,"C. Hornos, Juáre, Cd Juárez, Chih., México",A jornada completa,A jornada completa,"Descripción de la empresaBosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for more than 130 years has been distinguished by a unique corporate culture based on solid values ​​that drive us to improve every day. Our products, present in a wide variety of fields, that contribute to improve the quality of life of millions of people.Descripción del empleo·        Continuous improvement projects (Safety & cost savings projects, new technology)·        Responsible of CapEx budget and projects file (Overall Budget from JuP2)·        Coordinate periodic CapEx meetings with Staff (Continuous tracking of budget and       projects)·        Maintain updated tracking of CapEx projects·        Responsible of MAE acquisition projects / TEF development projects·        Support FCM projects, purchasing and trackingCreate POR’s in SAP portal  https://c.smartrecruiters.com/sr-company-attachments-prod-dc5/58652035e4b04016904de9fe/fc85ad32-9f56-4f39-a274-3447a4ac86ce?r=s3-eu-central-1RequisitosProject management and administrationAdvanceTPM & Auto cad KnowledgeIntermediateGoals Oriented, team workerAdvancedKnowledge of Lean and/or BPSIntermediateTechnical Knowledge (Mechanic, electric, Pneumatic, hydraulic)IntermediateProblem analysis knowledge (PDCA, RCA, 5w)AdvancedInformación adicionalBosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe. Welcome to Bosch.",,"Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe. Welcome to Bosch."
Coordinador de auditores de calidad,"Av. Tejocotes, Parque Industrial San Martín Obispo C.P. Cuautitlán Izcalli, Estado de México, ESTADO DE MÉXICO, Mexico",Full-time,Full-time,"Company DescriptionBosch fue fundada en Stuttgart en 1886 por Robert Bosch (1861-1942), y por más de 130 años se ha distinguido por una cultura corporativa única, basada en valores sólidos que nos impulsan a mejorar cada día. Nuestros productos, presentes en una amplia variedad de terrenos, contribuyen a mejorar la calidad de vida de millones de personas. Work #LikeABoschJob DescriptionSerá responsable de coordinar y dar seguimiento a actividades relacionados con las inspecciones de calidad a los procesos operativos del almacén, control documental del SGC, incidencias internas y externas, y mejoras a los procesos. Mantener la documentación del Sistema de Gestión de la Calidad actualizada y disponible en su punto de uso. Manejar información derivada de la ejecución de los procesos operativos para el cálulo y reporte de los indicadores del sitio.Dar seguimiento a la ejecución de las actividades de los auditores de calidadFacilitar la implementación de herramientas de calidad para la solución de problemas y mejoras en los procesos.Apoyar en el seguimiento del cierre de las acciones definidas para cerrar hallazgos de auditoría interna y externa.Implementar herramientas de mejora continua que contribuyan a elevar el nivel de madurez de la evaluación Lean and Quality.Realizar auditorías en capas de acuerdo a programa (LPA´s) y 6'SQualificationsLicenciatura concluida2 años de experiencia en actividades similaresInglés intermedio-avanzado, conversacionalConocimiento de normatividad ISO 9001Conocimiento de SAP / WMSManejo básico de herramientas de mejora continua Additional InformationBosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 18 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología.Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados.Conoce más de la forma en la que trabajamos en Bosch y nuestras nuevas posiciones en nuestras redes sociales:• Facebook: Bosch Talento México• Instagram: Bosch Campus México• LinkedIn: Bosch MéxicoTik tok: Bosch Talento México Todas nuestras vacantes son elegibles para recibir apoyo económico de reubicación (en caso de que se necesite) con base en la política interna de movilidad 0085.",,"Bosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 18 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología.Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados.Conoce más de la forma en la que trabajamos en Bosch y nuestras nuevas posiciones en nuestras redes sociales:• Facebook: Bosch Talento México• Instagram: Bosch Campus México• LinkedIn: Bosch MéxicoTik tok: Bosch Talento México Todas nuestras vacantes son elegibles para recibir apoyo económico de reubicación (en caso de que se necesite) con base en la política interna de movilidad 0085."
Ingeniero de Manufactura IB2,"Cto. Aguascalientes Nte., Parque industrial de Valle de Aguascalientes, 20358 Ags., México",A jornada completa,A jornada completa,"Descripción de la empresaBosch fue fundada en Stuttgart en 1886 por Robert Bosch (1861-1942), y por más de 130 años se ha distinguido por una cultura corporativa única, basada en valores sólidos que nos impulsan a mejorar cada día. Nuestros productos, presentes en una amplia variedad de terrenos, contribuyen a mejorar la calidad de vida de millones de personas.Descripción del empleoObjetivo del puesto (Descripción General): Especialista del proceso de ensamble, incluyendo implementación de modificaciones, configuración y entrenamiento de personal. Es responsable del análisis de fallas, proyectos de optimización y gerenciamiento de cambios para la línea de ensamble final de IB2. Tareas Específicas:Interacción constante con actividades de diseño e ingeniería del producto para determinar factibilidad de manufactura del diseño del producto.Liderar construcción de prototipos y PTRs.Liberación de nuevos proyectos incluyendo documentación: Flujo de Proceso, AMEF de Proceso, Control Plan y otros requisitos para PPAP.Colaborar con ingeniería, proveedores, personal de planta entre otros, para implementar mejoras de calidad, reducción de costo, métodos y mejoras de producto.Desarrollar herramentales y gauges para nuevas plataformas.Soporte al proceso para simplificar y asegurar la calidad y productividad de la línea con control de costos y cuidando la integridad de los asociados (OEE, IFC, Productividad..)Monitoreo y seguimiento a los indicadores clave de la planta después del SOP.Desarrollo y entrenamiento de trabajo estandarizado para operadores, supervisores y técnicos.Llevar a cabo y/o dar soporte en auditorías de proceso internas y externas. Implementación de sistemas de prevención para fallas de calidad (Pokayokes)Da soporte y/o lidera actividades de resolución de problemas por medio de herramientas como 8D, Shainin, diagramas Ishikawa, etc…Implementación de principios de Manufactura Esbelta (Bosch Production System).Requisitosa) Nivel Mínimo de Estudios: Ingeniería.b) Especialidad:  Mecánica, Mecatrónica, Industrial o afín.c) Idiomas: Inglés Avanzado. Habilidad/ Conocimiento/ Experiencia Requerida:Procesos de Manufactura en Industria Automotriz.Sistemas de Calidad. COMPETENCIAS CLAVE DEL PUESTO:Enfoque a resultados.Orientación a objetivos.                                                                                       Pensamiento/acciones estratégicas.Cooperación.Trabajo en equipo.Manejo de conflictos.Pensamiento interdisciplinario.Sentido de Urgencia.         Información adicionalBosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 17 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología. Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados.","Procesos de Manufactura en Industria Automotriz., Sistemas de Calidad., Enfoque a resultados., Orientación a objetivos., Pensamiento/acciones estratégicas., Cooperación., Trabajo en equipo., Manejo de conflictos., Pensamiento interdisciplinario., Sentido de Urgencia.","Bosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 17 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología. Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados."
Senior Logistics Engineer,"C. Hornos 5051, Juáre, 32630 Cd Juárez, Chih., Mexico",Full-time,Full-time,"Company DescriptionBosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for more than 130 years has been distinguished by a unique corporate culture based on solid values ​​that drive us to improve every day. Our products, present in a wide variety of fields, that contribute to improve the quality of life of millions of people.Job Description""Analyze the material flows, processes, systems and information in order to detect waste to maximize the use of resources and achieve considerable improvements in savings and times. For Example:1. Actively manage and coordinate the creation of a continuous flow of information and materials in the Logistics organization and through its value chain.
2. Establish material handling systems, information flow, standards for pull systems or replacement and leveling of production, as well as maintenance to logistics costs and inventories within the established parameters.
3. Responsible of all procedures, work instructions and documents (PFMEA, WI and visual aids) related to internal logistics applicable to material flow (Inbound, production supply, outbound).4. Inventory analysis: ABC, FIFO, Supermarkets.5. Responsible to keep up to day PFEP (Plan For Every Part).6. Responsible of continuous improvement activities related to warehouse.7. Reponsible of safety, visualization and 5s projects.8. Responsible of layout optimization projects.9. Responsible of time studies and capacity analysis.10. Any other activity that is required and goes according to your position or department.11. Responsible for coordinating and complying with the central management systems for the Logistics area, such as ISP 14001, ISO / TS, OHSAS, DSP, AIM, among others, as well as attendance and follow-up to central character audits.Qualifications""Education: Bachelor’s degree in Engineering.
Experience: Minimum one year experience in the automotive industry and/or logistics engineering. Competences: Creative Thinking, Achievement Orientation, Impact and Influence, Proactive, Motivating Others, Stress Tolerance, Management Resource.Additional InformationBosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 17,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.",,"Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 17,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates."
Ingeniero de Manufactura Maquinados,"Cto. Aguascalientes Nte., Parque industrial de Valle de Aguascalientes, 20358 Ags., México",A jornada completa,A jornada completa,"Descripción de la empresaBosch fue fundada en Stuttgart en 1886 por Robert Bosch (1861-1942), y por más de 130 años se ha distinguido por una cultura corporativa única, basada en valores sólidos que nos impulsan a mejorar cada día. Nuestros productos, presentes en una amplia variedad de terrenos, contribuyen a mejorar la calidad de vida de millones de personas.Descripción del empleoRequisitos:Escolaridad: Ingenieria Industrial, IMA, Ingeniería Mecatrónica o afín.Edad: 24 a 35 años.Nivel de Inglés: Intermedio - Alto nivel conversacional.Experiencia: De 3 a 5 años en puesto similar.Principales Responsabilidades:Atención de problemas de línea.Atender modos de falla.Realizar analisis de modos de falla.Desarroyo de proyectos de mejora.Solución y analisis de problemas.Manejo de KPI´s.Presentar ideas de Ahorro.Analisis y resolución de problemas.RequisitosQualifications:Conocimientos:Ingenieria y Manufactura.CNC.PLC´s.Core Tools.Documentos de Calidad de Procesos.Programas de diseño (Autocad,SolidWorks).Contacto con proveedores.Realización de cotizaciones.Industria 4.0 indispensable.Herramientas de corte.Caracteristicas personales:Enfoque a resultados.Sentido de urgencia.Trabajo en equipo.Información adicionalBosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 17 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología. Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados.","Conocimientos:, Ingenieria y Manufactura., CNC., PLC´s., Core Tools., Documentos de Calidad de Procesos., Programas de diseño (Autocad,SolidWorks)., Contacto con proveedores., Realización de cotizaciones., Industria 4.0 indispensable., Herramientas de corte., Enfoque a resultados., Sentido de urgencia., Trabajo en equipo.","Bosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 17 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología. Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados."
